S.No.,Question,Difficulty,Answer,Distractor 1,Distractor 2,Distractor 3,Distractor 4
34,"text = ""Hello, World!""
print(text[::-1])",Difficult,"!dlroW ,olleH'","!dlroW ,olleH '","Hello, World!'"," !dlroW ,olleH'","!dlroW ,olleH'"
35,Which of the following methods is used to check if a string starts with a specified substring in Python?,Easy,startswith(),is_startswith(),starts(),startswith(),is_start()
36,Which of the following methods is used to format a string with placeholders for values in Python?,Easy,format(),format(),replace(),insert(),concat()
37,Which of the following methods is used to find the index of the first occurrence of a substring in a string in Python?,Easy,find(),index(),find(),search(),locate()
38,"text = ""Hello, World!""
print(len(text))",Easy,12,11,12,13,14
39,"text = ""Hello, World!""
print(text.split()[::-1])",Difficult,"['Hello,', 'World!']","['World!', 'Hello,']","['World!', 'Hello,', '']","['Hello,', 'World!']","['Hello,', 'World!', '']"
40,Which of the following methods is used to capitalize the first character of a string in Python?,Easy,capitalize(),upper(),title(),casefold(),capitalize()
41,print(ord('foo')),Medium,It raises an exception,102 111 111,It raises an exception,102,324
42,s = 'foo-bar-baz' Which of the following expressions evaluates to a string equal to s,Difficult,'-'.join(s.split('-')),'-'.join(s.partition('-')),-'.join(s.split('-')),s.center(15),s.upper().lower()
43,list((b'abcde' + 'fghi')[3:6]),Medium,It raises an exception,b'def',"[100, 101, 102]","[b'd', b'e', b'f']",It raises an exception
44,"Which of the following will result in an error?  str1=""python""",Easy," str1[1]=""x"""," str1[1]=""x""",print(str1[2]),print(str1[0:9]),Both (b) and ©
45,"x = ['xy', 'yz']  
for i in a:  
    i.upper()  
print(a)  ",Medium,"['xy', 'yz']","['xy', 'yz']","['XY', 'YZ']","[None, None]",None of these
46,"example = ""snow world""    print(""%s"" % example[4:7])",Easy,wo,wo,sn,rl,world
47,"str1 = ""Python Programming""
print(str1.count(""o""))",Easy,2,0,1,2,3
48,"str1 = ""Python""
print(str1[-2])",Easy,h,h,o,n,t
49,"str = ""My salary is 7000"";
print(str.isalnum())",Easy,FALSE,TRUE,FALSE,Error,No output
50,"animal = ""dog""
print(""animal"" + animal)",Medium,animaldog,dogdog,dog dog,animal dog,animaldog
51,"text = ""   Hello, World!   ""
print(text.strip())",Medium,"Hello, World!'","Hello, World!'","Hello, World! ' "," Hello, World!' "," Hello, World! '"
52,"text = ""Hello, World!""
print(text.endswith(""!""))",Easy,TRUE,TRUE,FALSE,None,Error
