S.No.,Question,Difficulty,Answer,Distractor 1,Distractor 2,Distractor 3,Distractor 4,,,,,,,
31,"str1 = 'Welcome'
print(str1*2)",Easy,WelcomeWelcome,WelcomeWelcome,TypeError unsupported operand type(s),Welcome,No Output,,,,,,,
32,"str = ""my name is James bond"";
print (str.capitalize())",Easy,My name is james bond,My Name Is James Bond,TypeError: unsupported operand type(s) for * or pow(): 'str' and 'int',My name is james bond,No Output,,,,,,,
33,"animal = ""dog""
print(""animal "" + ""animal"")",Easy,animal animal,animal animal,animalanimal,animal dog,animaldog,,,,,,,
34,"""text='machine ' \n print(text.capitalize()) """,Medium,Machine,achine ,Machine,mahineeee,mmmachine,,,,,,,
38,"text = ""Hello, World!""
print(len(text))",Easy,12,11,12,13,14,,,,,,,
39,"""str1 = 'blackboxtesting'\nprint(str1.isalpha())""",Medium,TRUE,TRUE,FALSE,None,Both,,,,,,,
40,"""str1 = 'pyspark program'\nprint(str1.isalpha())""",Difficult,FALSE,TRUE,FALSE,None,can't be deterined,,,,,,,
41,"""str1 = 'pythonprogramming'\nprint(str1.count('p'))""",Difficult,2,0,1,2,3,,,,,,,
42,"""str1 = ' Requirement Analysis'\nprint(str1.count(""a""))",Difficult,2,1,3,2,0,,,,,,,
43,"str = ""My salary is 7000""; \nprint(str.isalnum())",Easy,FALSE,TRUE,FALSE,Error,No output,,,,,,,
44,"animal = ""dog"" \n print(""animal"" + animal)",Medium,animaldog,dogdog,dog dog,animal dog,animaldog,,,,,,,
45,"text = ""   Hello, World!   "" \nprint(text.strip())",Medium,"Hello, World!'","Hello, World!'","Hello, World! ' "," Hello, World!' "," Hello, World! '",,,,,,,
46,"text = ""Hello, World!""\n print(text.endswith(""!""))",Easy,TRUE,TRUE,FALSE,None,Error,,,,,,,
47,""" var 6=5\n var 3=4 \n var10=var6+var3 """,Easy,9,7,6,5,9,,,,,,,
48,""" var 5=8\n var 9=10 \n var1=var9-var5 """,Easy,2,4,2,3,1,,,,,,,
49,""" var 2=4\n var 6= 10 \n var3= var 2*var6""",Easy,40,90,10,30,20,,,,,,,
50,""" var 2=4\n var 5= 15 \n var3= var 2*var5""",Easy,60,50,34,27,40,,,,,,,
